type,K,T,r,price,sigma_080_1m,sigma_080_3m,sigma_080_6m,sigma_080_9m,sigma_080_12m,sigma_090_1m,sigma_090_3m,sigma_090_6m,sigma_090_9m,sigma_090_12m,sigma_100_1m,sigma_100_3m,sigma_100_6m,sigma_100_9m,sigma_100_12m,sigma_110_1m,sigma_110_3m,sigma_110_6m,sigma_110_9m,sigma_110_12m,sigma_120_1m,sigma_120_3m,sigma_120_6m,sigma_120_9m,sigma_120_12m
asian,80,1.0,0.02,21.33463372382505,0.3777410164866143,0.21525301739765168,0.14919407823923767,0.11935138752455314,0.10122195796864379,0.4901139467079517,0.2776700624392653,0.19068602065515292,0.15103654821493895,0.12673101886335822,0.5860694447310107,0.32927457635851676,0.22299300087922508,0.1738239090603266,0.1431754120788916,0.6579155740304241,0.3649676802940515,0.24144831020655916,0.18250530352450123,0.1440762713637955,0.7248442646410652,0.39485422434027023,0.2508587861672927,0.1758867513453096,0.1104448843248801
asian,115,1.0,0.02,2.523699734505206,0.6408777201553009,0.36586523325606507,0.25429854095032156,0.20402479515174032,0.1735556570962753,0.6429474182111166,0.3652186138772304,0.25185766757969086,0.20038106610362028,0.16894126657212516,0.6692189435632777,0.3772084804782963,0.2568379933639327,0.20145086508263962,0.16713193497437687,0.71411264411926,0.39795050113504093,0.26551396118600407,0.2030155716090815,0.16295769321076006,0.7910430746821031,0.4351091779005502,0.28261479553354896,0.20710801010417138,0.1535722882667128
asian,80,1.0,0.02,21.68030080334955,0.4671363268450184,0.2663695765399357,0.1848112670046875,0.1479997465313305,0.1256554141103336,0.49547533599150295,0.28073771256056124,0.1928252098827408,0.15275915835883513,0.12820168327349235,0.5447338195591831,0.3054429396689365,0.2061598742337018,0.16007331476787423,0.13123750492945174,0.6248592821717747,0.34549067241183157,0.2271194515024751,0.17013208770923557,0.1324211269214592,0.747991239305519,0.4090110071508834,0.26219420830417806,0.18743306999589024,0.1292967096799759
asian,115,0.75,0.02,1.3466128992236746,0.5970251018953423,0.3407364664338959,0.23673143136357583,0.1898468750593785,0.16142135295618673,0.4632519027321354,0.2623052030849863,0.17997481402338605,0.14241719445081213,0.11937680394394967,0.46916973853233734,0.26187135752135426,0.17536857273264675,0.1348959554604677,0.10934020950952017,0.5782501887571592,0.317898180388101,0.20660698206282518,0.1520969962003908,0.11480456668154633,0.7196311657913305,0.39165119189501807,0.24826216749899957,0.17315150581283467,0.10452961071199186
asian,105,1.0,0.02,4.5392805021344556,0.553579887075071,0.3158511274152245,0.2193454233502173,0.175823965696648,0.14942731044253904,0.5571897128218399,0.31606931786960224,0.21749027983937624,0.1726363238004783,0.14518819113124745,0.5936063684882273,0.3336197132969174,0.22606162719168055,0.1763295602958584,0.14534977010828476,0.6523700611185302,0.36170468313627735,0.23905482468919398,0.18044843360245016,0.1421560702933545,0.7528443530052529,0.411967116933203,0.2645352709082205,0.18975184250563984,0.13248121480946848
asian,110,1.0,0.02,2.9663893036450792,0.5896965867250743,0.33653798947744534,0.2337974135191914,0.18747974449906707,0.15939603902530888,0.565991861049432,0.3211114990442459,0.22101316313837627,0.17547800739643044,0.14761915602936046,0.6021044822948525,0.338518920913414,0.2295213832359385,0.17915455136376657,0.14780065474158427,0.7036273010056756,0.39180689199515367,0.26104723746750047,0.19922904961118063,0.15950260729346633,0.8353810571586624,0.46174333657496436,0.3029985859511801,0.22585969331470498,0.17357211569562442
asian,90,1.0,0.02,13.225502964310966,0.4682340910323525,0.2669977093532264,0.1852492841679767,0.14835238311227478,0.12595645510262002,0.5153075262485548,0.292087773812752,0.20074443144644244,0.15913737366947386,0.13364907826946476,0.5806730849823355,0.3261634671051618,0.22079578223942506,0.17202935340595335,0.14161818260104428,0.6591670932329073,0.3657038481711216,0.2419879488496194,0.1829685547392235,0.1445080226303997,0.7662265108343987,0.42009843247254847,0.2709352159455301,0.19599745670236138,0.1405272962028872
asian,80,1.0,0.02,21.917375783454546,0.5441812696690099,0.31046898595958816,0.21558667587342967,0.17279351578801053,0.14683653803935967,0.5741656949814938,0.3257942887189789,0.22428559152710897,0.17811817566390348,0.1498778639517373,0.6273607228345861,0.3530788736372771,0.23980245607072406,0.18754781531664824,0.15508017218107037,0.7032577961467453,0.3915903114043461,0.2608896360233567,0.19909529446760815,0.1593803591202551,0.8048603276130206,0.4434323181357694,0.2890263576916532,0.21308109978769754,0.16014997807429437
asian,115,1.0,0.02,1.4697076776021103,0.47013660726253836,0.2680863524907315,0.1860084398255502,0.14896357694848605,0.1264782383209272,0.5342320331720529,0.30292197686066735,0.20830752433408317,0.16523240735700967,0.13885741123636455,0.6090332916288057,0.342513364348177,0.23234208092424746,0.18145753459017588,0.14979836760820398,0.6838522018242416,0.3802079345231754,0.25259510977286703,0.19204059216266572,0.15290873990468773,0.7541166929548373,0.41274151287898625,0.26514719123395375,0.1903546833724105,0.13328922794209722
asian,110,0.75,0.02,1.6168527118875862,0.4059812979963579,0.2313945031116213,0.1604338880843665,0.12838625888574523,0.10892254981059278,0.419688310039462,0.23740613876739594,0.16263806908006512,0.12848370851051735,0.1075037200799265,0.4986409472355079,0.2788660188997116,0.187381163335842,0.14472301626411183,0.11789430765900417,0.602111582297909,0.3320457727181208,0.21716065804607507,0.16143338460933407,0.12404313636095435,0.718185774088259,0.390762190914674,0.2475391302149952,0.1723824457886758,0.10265796906282963
